,Unnamed: 0,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
96715,117247,Efstathios Khorafas,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 500 metres Freestyle,Bronze
96819,117374,Stefanos Khristopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Bronze
101231,123038,Georgios Koletis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 100 kilometres,Silver
101887,123832,Aristidis Konstantinidis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Gold
108099,131869,"Francis Adonijah ""Frank"" Lane",M,21.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
112352,137064,Albin Georges Lermusiaux,M,21.0,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Bronze
117204,142858,"Spyridon ""Spyros"" Louis",M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Gold
117228,142882,Dimitrios Loundras,M,10.0,Ethnikos Gymnastikos Syllogos,GRE,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Bronze
121281,147806,Ioannis Malokinis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Gold
122069,148753,Julius Carl Fritz Manteuffel,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
122071,148755,Julius Carl Fritz Manteuffel,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
124758,151935,Paul Michel Pierre Adrien Masson (-Nossam),M,19.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's Sprint,Gold
124759,151936,Paul Michel Pierre Adrien Masson (-Nossam),M,19.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,Gold
124760,151937,Paul Michel Pierre Adrien Masson (-Nossam),M,19.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's 10,000 metres",Gold
131945,160372,Ioannis Mitropoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rings,Gold
140095,170028,Karl Neukirch,M,31.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
140097,170030,Karl Neukirch,M,31.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
140146,170080,Paul Neumann (-Newman),M,20.0,Austria,AUT,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 500 metres Freestyle,Gold
141022,171105,Holger Louis Nielsen,M,29.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Silver
141023,171106,Holger Louis Nielsen,M,29.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Bronze
141025,171108,Holger Louis Nielsen,M,29.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Bronze
141508,171704,Alexandros Nikolopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Bronze
141515,171711,Stamatios Nikolopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's Sprint,Silver
141516,171712,Stamatios Nikolopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,Silver
146455,177943,Georgios D. Orfanidis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Silver
146456,177944,Georgios D. Orfanidis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
148428,180285,John Bryant Paine,M,25.0,United States,USA,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold
148429,180286,Sumner Paine,M,27.0,United States,USA,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold
148430,180287,Sumner Paine,M,27.0,United States,USA,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Military Pistol, 25 metres",Silver
149444,181560,Georgios Saranti Papasideris,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Bronze
149614,181756,Panagiotis Paraskevopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Discus Throw,Silver
150554,182918,"Khios ""Konstantinos"" Paspatis",M,17.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Bronze
151156,183642,Pavlos Pavlidis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Military Rifle, 200 metres",Silver
